"Anne Hidalgo ne va pas se représenter, c'est un jour noir pour les entreprises...  Son nom sera donné à un plot de chantier"	https://audio.audiomeans.fr/file/nvPVUluDrr/94802b6f-8086-4a12-81fe-4ab1cab00ed9.mp3?_=1732693081	3.18 MB	03:28	Ecoutez Le 2ème œil de Philippe Caverivière du 27 novembre 2024.	
"Michel Barnier c'est Messmer l'hypnotiseur, il dit juste 'concernant les tarifs de l'électricité...' t'es en sommeil profond"	https://audio.audiomeans.fr/file/nvPVUluDrr/59dcddb2-15a1-41b0-bffd-9cd8c8769c34.mp3?_=1732691281	4.81 MB	05:15	Ecoutez L'oeil de Philippe Caverivière du 27 novembre 2024.	
"Lilian Thuram a toujours été considéré comme le penseur parmi les footballeurs... Les lunettes font intello"	https://audio.audiomeans.fr/file/nvPVUluDrr/354191c2-baf0-44e1-bea1-0da346ba5ad1.mp3?_=1732606681	3.78 MB	04:08	Ecoutez Le 2ème œil de Philippe Caverivière du 26 novembre 2024.	
"Pour faire tomber Michel Barnier ? Pas besoin de Teddy Riner, il suffit d'un peu de verglas"	https://audio.audiomeans.fr/file/nvPVUluDrr/adf2e860-e06e-4b38-9d03-f3a7d6a0aa57.mp3?_=1732604881	4.7 MB	05:08	Ecoutez L'oeil de Philippe Caverivière du 26 novembre 2024.	
"Vocalement le pape François, c'est moins bien que Bono de U2 ou Paul McCartney... Très peu de tubes"	https://audio.audiomeans.fr/file/nvPVUluDrr/85a38a1c-b3b1-4bcd-adb7-c31ff913642b.mp3?_=1732520581	3.45 MB	03:46	Ecoutez Le 2ème œil de Philippe Caverivière du 25 novembre 2024.	
"C'est beau cette mobilisation des académiciens pour Boualem Sansal, mais si il y a bagarre, je vais plutôt vers des CRS"	https://audio.audiomeans.fr/file/nvPVUluDrr/6540f32f-9ec2-415b-8871-87bd3ffa53a2.mp3?_=1732518481	5.57 MB	06:05	Ecoutez L'oeil de Philippe Caverivière du 25 novembre 2024.	
LA VIZO CONFÉRENCE - "Avec Clara Luciani, on est devenu populaire : maintenant, on passe tous les deux sur RTL"	https://audio.audiomeans.fr/file/nvPVUluDrr/a0d7e20d-6ee3-4793-b4e2-ef7081c6ecf9.mp3?_=1732180626	4.1 MB	04:28	"Je dis ça parce qu'avec Clara, on s'est connu sur France Inter, à l'époque où on était émergents tous les deux, une époque où on s'adressait à une niche d'intello de gauche..."
Ecoutez La Vizo Conférence avec Alex Vizorek du 19 novembre 2024.	
BEST OF - Spécial Élections Européennes	https://audio.audiomeans.fr/file/nvPVUluDrr/39a15bbc-bcad-4954-bd95-dcae38a24575.mp3?_=1732179466	2.93 MB	03:12	REDIFF - Tout l'été, retrouvez chaque jour le meilleur de Philippe Caverivière.	
"La France est sous la neige, sous la poudreuse... dire que Pierre Palmade a raté ça"	https://audio.audiomeans.fr/file/nvPVUluDrr/a2790bfb-3312-470c-8e3a-569b1121479a.mp3?_=1732261081	3.41 MB	03:43	Ecoutez Le 2ème œil de Philippe Caverivière du 22 novembre 2024.	
Philippe Caverivière propose à Patrick Martin, patron du Medef, d'être son "copain de vacances"	https://audio.audiomeans.fr/file/nvPVUluDrr/7721ceb0-28c6-4c64-b97e-e84b12db3192.mp3?_=1732259281	4.3 MB	04:42	Ecoutez L'oeil de Philippe Caverivière du 22 novembre 2024.	
"Jimmy Mohamed, c'est le Nagui des artères, le Nikos des prises de tension"	https://audio.audiomeans.fr/file/nvPVUluDrr/06eca20e-850b-4e0e-846e-cf8e486e86ba.mp3?_=1732174981	3.02 MB	03:18	Ecoutez Le 2ème œil de Philippe Caverivière du 21 novembre 2024.	
"Un Noël qui déraille" : Philippe Caverivière imagine la nouvelle comédie romantique de Noël	https://audio.audiomeans.fr/file/nvPVUluDrr/ca3043b8-6a1b-4635-a793-56686ece029d.mp3?_=1732172881	5.08 MB	05:33	Ecoutez L'oeil de Philippe Caverivière du 21 novembre 2024.	
"L'avenir de Pierre Palmade n'est pas rose : soit il va en prison, soit il devient député LFI"	https://audio.audiomeans.fr/file/nvPVUluDrr/90bef788-43da-41f9-b504-261efa1a1c68.mp3?_=1732088281	3.07 MB	03:21	Ecoutez Le 2ème œil de Philippe Caverivière du 20 novembre 2024.	
"Jordan Bardella sait qu'il va récupérer le brassard de capitaine en cas de claquage politique"	https://audio.audiomeans.fr/file/nvPVUluDrr/8c0e8795-cc67-4cea-b3a0-c0bc884d9c7f.mp3?_=1732086488	4.82 MB	05:16	Ecoutez L'oeil de Philippe Caverivière du 20 novembre 2024.	
"Aux Restos du Cœur, des pauvres aident des encore plus pauvres, c'est l'inverse du gouvernement Macron"	https://audio.audiomeans.fr/file/nvPVUluDrr/82d75612-15a2-4ab9-aa97-e741cd497cb0.mp3?_=1732002181	4.11 MB	04:29	Ce mardi 19 novembre marque le lancement de la campagne hivernale des Restos du Cœur. L'occasion pour Philippe Caverivière de s'adresser au président de l'association, Patrice Douret, invité de RTL Matin.
Ecoutez Le 2ème œil de Philippe Caverivière du 19 novembre 2024.	
"Si Édouard Philippe propose Jean-Jacques Goldman en Première dame, y a plus de match pour 2027"	https://audio.audiomeans.fr/file/nvPVUluDrr/1d6058f6-1a86-4041-9c34-e7ccdd989f5b.mp3?_=1732000081	3.72 MB	04:04	Le maire du Havre, Édouard Philippe, qui a d'ores et déjà annoncé sa candidature à la présidentielle de 2027, était l'invité de la matinale de RTL ce mardi 19 novembre. L'occasion pour Philippe Caverivière de revenir sur cette annonce, publiée en plein remaniement gouvernemental. 
Ecoutez L'oeil de Philippe Caverivière du 19 novembre 2024.	
"L'habit ne fait pas le moine, sinon l'abbé Pierre aurait été habillé en string, latex et casquette en cuir"	https://audio.audiomeans.fr/file/nvPVUluDrr/dd70efd6-1c71-432f-859b-2882443e892d.mp3?_=1731915480	3.15 MB	03:27	Dans sa deuxième chronique, lundi 18 novembre, Philippe Caverivière, s'est adressé à l'agriculteur Paul Mougenot, dont le secteur en difficulté se mobilise à nouveau.
Ecoutez Le 2ème œil de Philippe Caverivière du 18 novembre 2024.	
"Un maire communiste, c'est comme les diamants roses d'Afrique ou un prêtre vierge, c'est rare et magnifique"	https://audio.audiomeans.fr/file/nvPVUluDrr/42bd4faf-d9a1-437e-a6fe-d3c3bbdfd5ee.mp3?_=1731913680	4.08 MB	04:27	Face à l'invité RTL Philippe Rio, le maire de Grigny, Philippe Caverivière est revenu avec ironie, lundi 18 novembre, sur le mandat de l'édile de l'Essonne. 
Ecoutez L'oeil de Philippe Caverivière du 18 novembre 2024.	
LA VIZO CONFÉRENCE - "Bruno Retailleau nous parlait de mexicanisation de la France, mais là on serait plus sur une vikingisation de la France""	https://audio.audiomeans.fr/file/nvPVUluDrr/8b770c31-4144-4a9b-9e04-437f20318a9d.mp3?_=1731324182	4.49 MB	04:54	Alex Vizorek revient sur la bagarre qui a éclaté à coups de hache dans le RER E.
Ecoutez La Vizo Conférence avec Alex Vizorek du 05 novembre 2024.	
